Id,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
1036,-1,61,52,42,72,86,87,60,99,71,62,62,72,73,87,71,86,72,99,52,2
1037,-1,100,40,30,60,85,86,100,31,50,41,85,40,100,85,100,85,51,78,0,2
1038,-1,60,60,40,60,70,40,60,40,40,40,60,60,85,70,50,85,30,75,40,2
1039,-1,60,40,40,50,60,40,60,40,40,40,40,40,70,50,50,70,0,60,0,2
1040,-1,91,31,39,41,88,54,84,66,29,59,55,29,97,68,48,84,13,74,50,3
1041,-1,85,70,30,15,85,85,85,60,85,40,85,85,85,85,85,85,85,85,30,2
1042,-1,15,50,85,70,50,50,50,70,50,30,50,50,50,50,16,71,50,100,51,1
1043,-1,52,4,51,50,86,6,52,41,63,37,32,49,97,52,50,100,41,99,16,2
1044,-1,70,0,0,100,100,60,100,100,0,70,70,70,100,85,15,100,40,85,85,2
1045,-1,15,60,85,60,50,50,30,70,50,50,50,50,70,100,15,60,30,100,60,1
1046,-1,-9,14,-9,88,-9,40,55,93,52,51,52,40,70,89,-9,88,78,97,0,1
1047,-1,47,98,80,79,87,41,40,87,98,71,50,88,92,99,4,93,89,77,50,1
1048,-1,60,0,15,15,40,40,60,40,50,30,70,50,85,70,70,85,50,50,15,2
1049,-1,32,41,33,85,61,1,49,43,51,17,41,32,80,49,31,41,16,51,26,2
